,Date 22/06/2026
Rice,43.88
Broken Rice,32.92
Wheat,30.97
Atta (Wheat),36.79
Gram Dal,85.67
Tur/Arhar Dal,122.87
Urad Dal,118.71
Moong Dal,111.4
Masoor Dal,90.13
Sugar,46.92
Milk @,60.61
Groundnut Oil (Packed),202.78
Mustard Oil (Packed),193.07
Vanaspati (Packed),163.74
Soya Oil (Packed),162.17
Sunflower Oil (Packed),188.02
Palm Oil (Packed),147.25
Gur,58.63
Tea Loose,274.59
Salt Pack (Iodised),21.87
Potato,21.98
Onion,27.82
Tomato,43.76
Bajra (whole),37.94
Jowar (whole),44.16
Maida (wheat),42.07
Ragi (whole),54.83
Suji (whole),47.23
Besan,95.76
Desi Ghee,689.83
Butter (Pasteurised),59.3
Eggs,81.47
Brinjal,41.65
Black Pepper (whole),87.83
Coriander (whole),40.3
Cummin Seed (whole),40.91
Red Chillies (whole),29.18
Turmeric (powder),16.45
Banana,48.8
Ginger,30.68
Garlic,39.57
