,Date 05/04/2026
Rice,41.99
Wheat,31.17
Atta (Wheat),37.12
Gram Dal,83.79
Tur/Arhar Dal,121.06
Urad Dal,117.27
Moong Dal,110.1
Masoor Dal,87.98
Sugar,46.05
Milk @,58.84
Groundnut Oil (Packed),200.26
Mustard Oil (Packed),188.35
Vanaspati (Packed),158.33
Soya Oil (Packed),158.0
Sunflower Oil (Packed),184.25
Palm Oil (Packed),144.66
Gur,56.3
Tea Loose,263.89
Salt Pack (Iodised),22.08
Potato,19.25
Onion,23.98
Tomato,25.3
Bajra (whole),37.77
Jowar (whole),43.63
Maida (wheat),40.89
Ragi (whole),55.79
Suji (whole),44.96
Besan,94.57
Desi Ghee,682.37
Butter (Pasteurised),58.6
Eggs,76.83
Brinjal,37.12
Black Pepper (whole),86.39
Coriander (whole),37.01
Cummin Seed (whole),40.09
Red Chillies (whole),28.27
Turmeric (powder),16.04
Banana,47.1
Ginger,24.2
Garlic,35.09
