Date 03/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.73,64,,
Unit:(Rs./Kg.),Wheat,31.25,55,,
,Atta (Wheat),36.66,71,,
,Gram Dal,86.46,140,,
,Tur/Arhar Dal,124.86,185,,
,Urad Dal,116.58,157,,
,Moong Dal,111.43,148,,
,Masoor Dal,88.04,130,,
,Sugar,45.92,60,,
,Milk @,59.06,82,,
,Groundnut Oil (Packed),188.61,279,,
,Mustard Oil (Packed),171.21,242,,
,Vanaspati (Packed),156.44,231,,
,Soya Oil (Packed),147.04,189,,
,Sunflower Oil (Packed),161.02,231,,
,Palm Oil (Packed),133.91,182,,
,Gur,55.03,147,,
,Tea Loose,271.46,600,,
,Salt Pack (Iodised),21.44,31,,
,Potato,24.81,60,,
,Onion,26.41,60,,
,Tomato,26.71,100,,
