,Date 18/02/2026
Rice,43.05
Wheat,31.81
Atta (Wheat),37.35
Gram Dal,85.92
Tur/Arhar Dal,120.74
Urad Dal,116.3
Moong Dal,110.78
Masoor Dal,89.22
Sugar,46.4
Milk @,59.29
Groundnut Oil (Packed),194.06
Mustard Oil (Packed),186.75
Vanaspati (Packed),156.92
Soya Oil (Packed),149.93
Sunflower Oil (Packed),173.62
Palm Oil (Packed),136.1
Gur,57.28
Tea Loose,273.04
Salt Pack (Iodised),21.63
Potato,22.19
Onion,27.43
Tomato,31.87
Bajra (whole),37.91
Jowar (whole),44.14
Maida (wheat),41.92
Ragi (whole),54.36
Suji (whole),46.94
Besan,95.99
Desi Ghee,679.62
Butter (Pasteurised),58.92
Eggs,82.32
Brinjal,39.88
Black Pepper (whole),87.32
Coriander (whole),37.69
Cummin Seed (whole),40.83
Red Chillies (whole),27.98
Turmeric (powder),16.31
Banana,47.25
Ginger,24.95
Garlic,39.13
