Date 06/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.98,67,,
Unit:(Rs./Kg.),Wheat,32.76,56,,
,Atta (Wheat),38.03,71,,
,Gram Dal,89.48,140,,
,Tur/Arhar Dal,136.71,181,,
,Urad Dal,120.86,156,,
,Moong Dal,112.56,150,,
,Masoor Dal,88.63,130,,
,Sugar,45.44,60,,
,Milk @,58.29,82,,
,Groundnut Oil (Packed),192.17,279,,
,Mustard Oil (Packed),168.26,223,,
,Vanaspati (Packed),151.31,209,,
,Soya Oil (Packed),145.35,192,,
,Sunflower Oil (Packed),157.78,206,,
,Palm Oil (Packed),137.74,184,,
,Gur,54.08,130,,
,Tea Loose,271.05,520,,
,Salt Pack (Iodised),21.35,32,,
,Potato,24.51,60,,
,Onion,36.53,80,,
,Tomato,21.78,100,,
