,Date 29/08/2026
Rice,45.95
Broken Rice,33.09
Wheat,31.68
Atta (Wheat),37.39
Gram Dal,87.14
Tur/Arhar Dal,123.55
Urad Dal,122.45
Moong Dal,111.79
Masoor Dal,89.69
Sugar,63.84
Milk @,61.25
Groundnut Oil (Packed),205.75
Mustard Oil (Packed),200.47
Vanaspati (Packed),166.71
Soya Oil (Packed),165.1
Sunflower Oil (Packed),191.8
Palm Oil (Packed),149.65
Gur,67.1
Tea Loose,274.2
Salt Pack (Iodised),22.17
Potato,22.69
Onion,48.29
Tomato,37.31
Bajra (whole),39.05
Jowar (whole),45.28
Maida (wheat),42.25
Ragi (whole),55.19
Suji (whole),46.93
Besan,96.52
Desi Ghee,698.66
Butter (Pasteurised),60.24
Eggs,83.39
Brinjal,42.7
Black Pepper (whole),88.21
Coriander (whole),42.46
Cummin Seed (whole),41.18
Red Chillies (whole),29.99
Turmeric (powder),16.54
Banana,50.73
Ginger,36.73
Garlic,44.08
