,Date 06/04/2026
Rice,43.13
Wheat,31.09
Atta (Wheat),36.89
Gram Dal,85.2
Tur/Arhar Dal,122.38
Urad Dal,117.55
Moong Dal,111.26
Masoor Dal,89.36
Sugar,46.51
Milk @,59.59
Groundnut Oil (Packed),199.85
Mustard Oil (Packed),188.2
Vanaspati (Packed),159.2
Soya Oil (Packed),156.66
Sunflower Oil (Packed),183.7
Palm Oil (Packed),142.98
Gur,57.26
Tea Loose,272.51
Salt Pack (Iodised),21.71
Potato,20.37
Onion,25.17
Tomato,26.8
Bajra (whole),37.85
Jowar (whole),44.06
Maida (wheat),41.75
Ragi (whole),54.84
Suji (whole),46.86
Besan,95.52
Desi Ghee,683.26
Butter (Pasteurised),58.99
Eggs,77.32
Brinjal,38.51
Black Pepper (whole),87.28
Coriander (whole),38.1
Cummin Seed (whole),40.83
Red Chillies (whole),28.47
Turmeric (powder),16.4
Banana,47.98
Ginger,24.82
Garlic,36.82
