Date 28/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.59,68,27,40,50,53,44.5,41.64,37.81,44,36.86,38,52,54.5,39.57,40.33,41.25,45.86,38.69,54.13,49.23,48.5,38.28,47.63,37.7,50,43.47,38.96,65,40.33,41.97,49,57.91,55.8,38.25,39.42,38,44
Unit:(Rs./Kg.),Wheat,31.94,58,22,30,,42.75,45,37,29.3,31,33.29,30,39.5,50,34.71,29.33,24,33.33,31.75,42.88,47.18,,29.94,40,44.11,42.13,42.86,38.88,48,29.47,29.45,38.5,46.25,40.5,,28.68,29,30.7
,Atta (Wheat),37.09,70,29,35,65,46.5,43,39.88,34.81,36,39.14,36,47,45.5,36.29,35,36.42,39.43,36.56,44.72,46.92,42,34.64,44.58,43.3,48.6,49.27,43.23,47,35.2,33.52,39.33,54.91,44.1,42.25,34.11,34.67,39.74
,Gram Dal,94.74,142,70,90,110,100.75,106.75,96.16,89.41,90,97.57,95,104,113.5,93.29,94,96.58,96.71,91.2,95.34,112.92,131,92.36,99.05,110,98.71,98.75,97.64,102,96.53,88.9,100.83,101.85,89.8,99.33,88.51,88.67,90.96
,Tur/Arhar Dal,160.73,193,117,160,174,170.25,174.5,165.92,155.7,165,157.43,150,168.5,166,164.29,167.33,162.58,161.33,158.25,156.63,173.5,170,155.82,167.11,179.2,158.83,164.5,157.65,185,166.67,161.13,170,171.12,162.9,159.67,152.07,163,164.78
,Urad Dal,124.6,173,85,120,150,133,129.25,112.61,121.59,125,118.71,138,150.5,155,126.43,119,132.92,128.14,121.63,130.81,143.45,141,117.98,129.21,133,135.29,119.11,118.86,151,132.13,119.84,126.67,136.88,128.6,128.33,118.85,120.67,125.3
,Moong Dal,115.57,160,87,120,120,122.75,118,115.56,112.57,116,115.14,118,125,131.5,111,117.67,115.83,122.14,113.25,117.81,131.75,130,109.26,120.68,123.8,140,121.31,114.91,113,115.6,106.97,126.67,120.91,116,113.75,109.89,115.33,118.52
,Masoor Dal,90.23,160,73,90,100,94.75,100.75,91.2,80.54,90,94.57,90,96,100.5,86.86,88,87.5,103.57,82.44,93.72,101.67,130,86.32,94.26,87.9,98.3,97.81,83.39,98,93,86.39,94.17,92.5,92.5,105.5,86.72,104.33,98
,Sugar,44.88,60,37,44,54,44,53.75,47.44,44.66,45,43.57,45,43,44.5,43,44.67,47.36,50.43,45.25,42.88,43.69,55,42.58,43.42,49,52.4,50.27,44.96,49,44.4,42.77,51.5,44.06,40.2,49.75,43.8,44.67,45.96
,Milk @,58.7,85,39,60,74,56.75,75.25,72.52,56.53,60,57.57,56,66,59,63.17,59,53.27,54.29,59.13,51.28,54.46,60,55.46,59.26,73.5,80,73.71,53.32,48,59.93,52.63,64.17,47.56,58,74.25,61.96,63,56.13
,Groundnut Oil (Packed),194.87,288,132,198,228,176,169,202,197.12,183,193.17,216,214.5,242.5,190.57,208.33,225.75,,193.42,186.97,231,,194.26,196.11,,153,200,206,247,233.23,187.97,,212.32,168.8,,198.83,178,213
,Mustard Oil (Packed),168.97,221,124,173,173,176.75,175.5,171.24,165.73,139,165.57,178,191.5,184,176.71,156,188.17,191.33,169.94,172.78,201.89,189,164.88,182.5,167.4,179.25,155.69,181.39,137,170.8,152.84,188.67,185.19,163.8,179.25,161.69,159.33,165.48
,Vanaspati (Packed),144.67,209,92,143,177,133.75,133.67,147.67,142.43,124,135.14,167,172.5,163,140.86,143.67,162.58,162.86,147.81,131.52,176.83,180,139.98,149,159.33,132,156,149.86,146,166.93,129.87,140.83,158.68,114.22,139,141.01,153.33,139.41
,Soya Oil (Packed),143.36,198,97,154,,143.5,144.5,147.17,145.57,119,140.71,161,151.5,169.5,143.29,142.33,149,157,147.06,140.1,146,194,142.64,150.32,153.9,136.8,159.56,150.5,,158.13,132.9,151.5,,116.25,152.75,140.99,145.33,137.04
,Sunflower Oil (Packed),152.01,253,108,159,134,157.25,169,151.63,157.39,120,144,163,162,165.5,144.43,148,151.75,163.4,160.71,149.19,162.85,,149.08,155.74,220,148.25,171.5,155.35,135,161.46,142.09,166.5,155.85,139.1,175,148.25,155.67,147.57
,Palm Oil (Packed),131.52,166,91,144,106,137.5,,121.6,125.03,100,122.67,141,127,144,138.5,121.67,114.5,133,124.94,129.1,150.27,,120.57,139.5,125,122.33,155.5,139.28,121,140.25,111.56,,141.97,124.3,134.33,121.46,149,123.4
,Gur,54.99,130,35,50,72,59.25,83,61.28,47.95,55,52.29,60,65,61.5,55.5,53,49.64,53.57,50.38,52.19,61.75,70,49.86,54.89,78.4,107.56,77,53,58,51.4,45.16,61,57.59,53.1,73,51.88,57,53.78
,Tea Loose,270.81,520,154,200,315,298.5,355,246.08,275.16,269,224.14,245,300,322.5,210.5,241.67,252.55,313.29,248.69,242.66,237,480,228.98,308.42,370.3,495.6,313.07,280.37,337,274.53,293.52,378.33,284.44,284.5,232,236.97,277.33,272.35
,Salt Pack (Iodised),21.91,31,9,27,18,18.5,19.5,13.08,23.55,28,19.29,27,28,25.5,19.17,26.67,27.91,27.86,24.81,17.91,15,28,16.14,24.16,18.9,29.8,18.38,25.96,26,26.8,19.76,21.33,24.7,19.6,10.5,25.78,28.67,23.83
,Potato,37.49,70,23,40,60,42.25,39.25,34.36,33.13,39,38.14,37,38,52,37.33,35,37.92,38.71,35.19,40.26,50.75,42.5,33.42,42.37,41.3,49.7,41.81,34.39,54,33.93,37.29,43.5,51.15,36.4,38.25,31.23,41.67,32.61
,Onion,54.38,100,24,50,100,53.75,64,59.4,50.34,52,53,52,51.5,71,44.33,50.67,59,61.14,55.56,46.58,74.83,70,44.18,56.21,70.9,66.8,73.31,56.87,60,52.4,47.97,72.5,63.09,46.1,65.5,46.89,57.67,57.57
,Tomato,51.52,127,19,50,100,40.75,73,63.92,54.29,60,36.71,50,36,45,43.83,55.33,59,56.43,55.69,35.61,42.17,80,45.02,44.21,58.1,94.2,72.75,51.87,36,51.73,53.61,68.33,43.68,41.9,67,46.49,43.67,60.48
