,Date 30/05/2026
Rice,42.84
Wheat,31.0
Atta (Wheat),36.98
Gram Dal,85.24
Tur/Arhar Dal,122.49
Urad Dal,118.47
Moong Dal,111.54
Masoor Dal,89.4
Sugar,46.87
Milk @,60.51
Groundnut Oil (Packed),201.8
Mustard Oil (Packed),190.64
Vanaspati (Packed),162.66
Soya Oil (Packed),161.19
Sunflower Oil (Packed),186.03
Palm Oil (Packed),145.81
Gur,58.19
Tea Loose,272.1
Salt Pack (Iodised),21.61
Potato,21.3
Onion,25.76
Tomato,37.38
Bajra (whole),38.51
Jowar (whole),44.73
Maida (wheat),41.95
Ragi (whole),54.96
Suji (whole),46.48
Besan,95.66
Desi Ghee,688.94
Butter (Pasteurised),59.05
Eggs,79.21
Brinjal,40.81
Black Pepper (whole),87.75
Coriander (whole),39.18
Cummin Seed (whole),41.21
Red Chillies (whole),29.08
Turmeric (powder),16.43
Banana,49.19
Ginger,28.22
Garlic,37.71
