Date 03/01/2026,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.49,61,,
Unit:(Rs./Kg.),Wheat,31.77,54,,
,Atta (Wheat),37.21,71,,
,Gram Dal,85.57,140,,
,Tur/Arhar Dal,114.53,190,,
,Urad Dal,113.16,155,,
,Moong Dal,109.81,143,,
,Masoor Dal,88.94,143,,
,Sugar,46.37,60,,
,Milk @,59.42,85,,
,Groundnut Oil (Packed),186.3,281,,
,Mustard Oil (Packed),186.44,260,,
,Vanaspati (Packed),156.15,230,,
,Soya Oil (Packed),146.48,194,,
,Sunflower Oil (Packed),166.29,222,,
,Palm Oil (Packed),132.56,181,,
,Gur,56.63,128,,
,Tea Loose,267.02,560,,
,Salt Pack (Iodised),21.26,36,,
,Potato,23.92,55,,
,Onion,28.66,65,,
,Tomato,51.34,120,,
