Date 26/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.63,65,,
Unit:(Rs./Kg.),Wheat,33.33,57,,
,Atta (Wheat),38.22,65,,
,Gram Dal,91.39,140,,
,Tur/Arhar Dal,147.59,187,,
,Urad Dal,122.29,161,,
,Moong Dal,111.92,140,,
,Masoor Dal,88.11,130,,
,Sugar,44.37,60,,
,Milk @,58.2,82,,
,Groundnut Oil (Packed),192.72,275,,
,Mustard Oil (Packed),171.54,220,,
,Vanaspati (Packed),148.87,209,,
,Soya Oil (Packed),145.9,192,,
,Sunflower Oil (Packed),155.21,209,,
,Palm Oil (Packed),137.14,176,,
,Gur,54.07,130,,
,Tea Loose,264.26,520,,
,Salt Pack (Iodised),22.01,31,,
,Potato,27.46,60,,
,Onion,35.91,80,,
,Tomato,24.24,100,,
