,Date 29/07/2026
Rice,44.9
Broken Rice,32.95
Wheat,31.37
Atta (Wheat),37.25
Gram Dal,86.31
Tur/Arhar Dal,123.37
Urad Dal,121.29
Moong Dal,111.77
Masoor Dal,90.35
Sugar,49.07
Milk @,60.87
Groundnut Oil (Packed),206.0
Mustard Oil (Packed),196.67
Vanaspati (Packed),165.57
Soya Oil (Packed),164.25
Sunflower Oil (Packed),189.37
Palm Oil (Packed),148.25
Gur,59.53
Tea Loose,275.02
Salt Pack (Iodised),22.05
Potato,22.72
Onion,35.07
Tomato,39.39
Bajra (whole),38.23
Jowar (whole),44.53
Maida (wheat),42.17
Ragi (whole),55.23
Suji (whole),47.09
Besan,96.13
Desi Ghee,693.72
Butter (Pasteurised),59.86
Eggs,86.95
Brinjal,43.61
Black Pepper (whole),88.13
Coriander (whole),41.82
Cummin Seed (whole),40.79
Red Chillies (whole),29.78
Turmeric (powder),16.77
Banana,50.16
Ginger,37.2
Garlic,43.13
