,Date 13/05/2026
Rice,43.1
Wheat,30.91
Atta (Wheat),36.77
Gram Dal,84.99
Tur/Arhar Dal,122.45
Urad Dal,118.09
Moong Dal,111.53
Masoor Dal,89.73
Sugar,46.64
Milk @,59.86
Groundnut Oil (Packed),201.14
Mustard Oil (Packed),189.6
Vanaspati (Packed),161.54
Soya Oil (Packed),159.5
Sunflower Oil (Packed),185.85
Palm Oil (Packed),144.82
Gur,58.02
Tea Loose,275.17
Salt Pack (Iodised),21.81
Potato,20.8
Onion,25.43
Tomato,34.79
Bajra (whole),37.65
Jowar (whole),43.88
Maida (wheat),41.88
Ragi (whole),55.18
Suji (whole),47.13
Besan,95.69
Desi Ghee,686.31
Butter (Pasteurised),59.09
Eggs,79.02
Brinjal,40.22
Black Pepper (whole),87.49
Coriander (whole),38.81
Cummin Seed (whole),41.02
Red Chillies (whole),28.72
Turmeric (powder),16.46
Banana,48.1
Ginger,26.78
Garlic,37.08
