Date 21/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.26,61,,
Unit:(Rs./Kg.),Wheat,31.68,54,,
,Atta (Wheat),37.25,71,,
,Gram Dal,87.2,140,,
,Tur/Arhar Dal,114.64,182,,
,Urad Dal,114.55,157,,
,Moong Dal,110.89,148,,
,Masoor Dal,89.46,130,,
,Sugar,46.58,60,,
,Milk @,59.75,85,,
,Groundnut Oil (Packed),187.17,286,,
,Mustard Oil (Packed),188.21,246,,
,Vanaspati (Packed),157.35,231,,
,Soya Oil (Packed),146.96,198,,
,Sunflower Oil (Packed),163.58,231,,
,Palm Oil (Packed),133.09,172,,
,Gur,57.92,140,,
,Tea Loose,272.57,600,,
,Salt Pack (Iodised),21.2,35,,
,Potato,25.62,60,,
,Onion,26.64,60,,
,Tomato,38.39,120,,
