Date 11/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.39,68,,
Unit:(Rs./Kg.),Wheat,32.32,58,,
,Atta (Wheat),37.32,70,,
,Gram Dal,94.48,140,,
,Tur/Arhar Dal,159.58,193,,
,Urad Dal,124.42,167,,
,Moong Dal,114.8,160,,
,Masoor Dal,89.67,156,,
,Sugar,44.75,60,,
,Milk @,58.83,82,,
,Groundnut Oil (Packed),194.21,275,,
,Mustard Oil (Packed),169.51,221,,
,Vanaspati (Packed),145.31,209,,
,Soya Oil (Packed),143.3,198,,
,Sunflower Oil (Packed),153.19,253,,
,Palm Oil (Packed),133.51,168,,
,Gur,54.92,130,,
,Tea Loose,271.49,520,,
,Salt Pack (Iodised),22.06,31,,
,Potato,37.84,74,,
,Onion,53.09,110,,
,Tomato,49.92,120,,
