Date 09/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.29,65,,
Unit:(Rs./Kg.),Wheat,32.5,56,,
,Atta (Wheat),37.45,71,,
,Gram Dal,93.1,140,,
,Tur/Arhar Dal,154.96,193,,
,Urad Dal,124.06,170,,
,Moong Dal,113.87,150,,
,Masoor Dal,89.19,130,,
,Sugar,44.53,60,,
,Milk @,58.62,82,,
,Groundnut Oil (Packed),194.27,290,,
,Mustard Oil (Packed),168.79,221,,
,Vanaspati (Packed),147.35,211,,
,Soya Oil (Packed),143.22,194,,
,Sunflower Oil (Packed),154.11,209,,
,Palm Oil (Packed),134.62,176,,
,Gur,54.26,130,,
,Tea Loose,272.19,520,,
,Salt Pack (Iodised),22.3,32,,
,Potato,32.44,70,,
,Onion,40.84,87,,
,Tomato,32.8,100,,
