Date 27/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.69,62,,
Unit:(Rs./Kg.),Wheat,31.35,53,,
,Atta (Wheat),37.25,66,,
,Gram Dal,85.2,102,,
,Tur/Arhar Dal,125.86,172,,
,Urad Dal,117.5,153,,
,Moong Dal,110.48,145,,
,Masoor Dal,86.87,117,,
,Sugar,45.5,60,,
,Milk @,58.41,80,,
,Groundnut Oil (Packed),188.79,251,,
,Mustard Oil (Packed),170.51,242,,
,Vanaspati (Packed),153.31,214,,
,Soya Oil (Packed),147.24,182,,
,Sunflower Oil (Packed),161.19,211,,
,Palm Oil (Packed),137.56,189,,
,Gur,53.59,120,,
,Tea Loose,265.77,523,,
,Salt Pack (Iodised),21.56,31,,
,Potato,22.63,53,,
,Onion,26.93,67,,
,Tomato,20.63,93,,
