,Date 08/02/2026
Rice,42.05
Wheat,32.05
Atta (Wheat),37.74
Gram Dal,84.1
Tur/Arhar Dal,117.88
Urad Dal,115.23
Moong Dal,109.26
Masoor Dal,87.6
Sugar,45.88
Milk @,58.47
Groundnut Oil (Packed),192.4
Mustard Oil (Packed),185.92
Vanaspati (Packed),155.01
Soya Oil (Packed),150.06
Sunflower Oil (Packed),173.08
Palm Oil (Packed),136.09
Gur,55.56
Tea Loose,261.07
Salt Pack (Iodised),21.49
Potato,20.91
Onion,26.35
Tomato,30.86
Bajra (whole),37.85
Jowar (whole),43.68
Maida (wheat),40.95
Ragi (whole),54.72
Suji (whole),44.59
Besan,95.01
Desi Ghee,676.74
Butter (Pasteurised),58.84
Eggs,83.22
Brinjal,38.66
Black Pepper (whole),86.34
Coriander (whole),36.38
Cummin Seed (whole),39.89
Red Chillies (whole),27.38
Turmeric (powder),15.8
Banana,46.15
Ginger,24.27
Garlic,37.94
