Date 14/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.89,65,,
Unit:(Rs./Kg.),Wheat,31.58,54,,
,Atta (Wheat),36.86,71,,
,Gram Dal,87.27,140,,
,Tur/Arhar Dal,118.15,183,,
,Urad Dal,114.61,170,,
,Moong Dal,110.61,148,,
,Masoor Dal,89.3,140,,
,Sugar,46.25,60,,
,Milk @,59.16,85,,
,Groundnut Oil (Packed),188.73,279,,
,Mustard Oil (Packed),186.97,249,,
,Vanaspati (Packed),156.31,231,,
,Soya Oil (Packed),147.3,190,,
,Sunflower Oil (Packed),160.86,253,,
,Palm Oil (Packed),130.74,177,,
,Gur,56.41,128,,
,Tea Loose,271.9,520,,
,Salt Pack (Iodised),21.33,33,,
,Potato,25.78,60,,
,Onion,28.35,60,,
,Tomato,53.54,127,,
