,Date 29/05/2026
Rice,43.23
Wheat,31.05
Atta (Wheat),36.94
Gram Dal,85.34
Tur/Arhar Dal,122.47
Urad Dal,118.38
Moong Dal,111.44
Masoor Dal,90.04
Sugar,46.82
Milk @,60.41
Groundnut Oil (Packed),202.02
Mustard Oil (Packed),190.23
Vanaspati (Packed),162.13
Soya Oil (Packed),160.79
Sunflower Oil (Packed),186.29
Palm Oil (Packed),145.43
Gur,58.12
Tea Loose,273.09
Salt Pack (Iodised),21.68
Potato,21.25
Onion,25.67
Tomato,37.26
Bajra (whole),37.94
Jowar (whole),43.95
Maida (wheat),41.88
Ragi (whole),54.97
Suji (whole),46.81
Besan,95.41
Desi Ghee,686.82
Butter (Pasteurised),59.14
Eggs,79.39
Brinjal,41.01
Black Pepper (whole),87.7
Coriander (whole),39.29
Cummin Seed (whole),41.0
Red Chillies (whole),29.07
Turmeric (powder),16.49
Banana,48.86
Ginger,28.22
Garlic,37.96
