Date 20/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.32,65,,
Unit:(Rs./Kg.),Wheat,32.19,58,,
,Atta (Wheat),37.29,70,,
,Gram Dal,93.95,140,,
,Tur/Arhar Dal,158.38,189,,
,Urad Dal,123.94,170,,
,Moong Dal,114.18,150,,
,Masoor Dal,89.58,133,,
,Sugar,44.72,60,,
,Milk @,58.88,82,,
,Groundnut Oil (Packed),194.56,275,,
,Mustard Oil (Packed),168.51,221,,
,Vanaspati (Packed),145.94,209,,
,Soya Oil (Packed),143.37,194,,
,Sunflower Oil (Packed),153.65,201,,
,Palm Oil (Packed),134.42,176,,
,Gur,54.91,130,,
,Tea Loose,271.52,520,,
,Salt Pack (Iodised),21.99,31,,
,Potato,36.38,100,,
,Onion,49.49,101,,
,Tomato,44.66,120,,
