,Date 19/09/2026
Rice,46.11
Broken Rice,33.37
Wheat,31.87
Atta (Wheat),37.52
Gram Dal,88.23
Tur/Arhar Dal,124.43
Urad Dal,122.63
Moong Dal,112.03
Masoor Dal,89.93
Sugar,58.24
Milk @,61.4
Groundnut Oil (Packed),206.84
Mustard Oil (Packed),201.42
Vanaspati (Packed),167.99
Soya Oil (Packed),166.17
Sunflower Oil (Packed),193.56
Palm Oil (Packed),152.26
Gur,66.72
Tea Loose,274.08
Salt Pack (Iodised),22.09
Potato,23.12
Onion,54.22
Tomato,39.04
Bajra (whole),39.11
Jowar (whole),45.68
Maida (wheat),42.59
Ragi (whole),55.42
Suji (whole),47.07
Besan,96.63
Desi Ghee,701.41
Butter (Pasteurised),60.63
Eggs,83.84
Brinjal,43.18
Black Pepper (whole),88.57
Coriander (whole),43.96
Cummin Seed (whole),41.2
Red Chillies (whole),30.36
Turmeric (powder),16.72
Banana,49.86
Ginger,35.99
Garlic,45.3
