,Date 11/02/2026
Rice,43.17
Wheat,31.82
Atta (Wheat),37.33
Gram Dal,85.88
Tur/Arhar Dal,120.39
Urad Dal,115.81
Moong Dal,110.71
Masoor Dal,89.37
Sugar,46.41
Milk @,59.36
Groundnut Oil (Packed),192.64
Mustard Oil (Packed),187.11
Vanaspati (Packed),157.09
Soya Oil (Packed),149.79
Sunflower Oil (Packed),172.91
Palm Oil (Packed),135.84
Gur,57.25
Tea Loose,272.22
Salt Pack (Iodised),21.48
Potato,22.6
Onion,27.93
Tomato,33.46
Bajra (whole),37.98
Jowar (whole),44.01
Maida (wheat),41.92
Ragi (whole),54.37
Suji (whole),47.01
Besan,95.96
Desi Ghee,680.3
Butter (Pasteurised),59.01
Eggs,82.59
Brinjal,40.3
Black Pepper (whole),86.83
Coriander (whole),37.74
Cummin Seed (whole),41.04
Red Chillies (whole),27.98
Turmeric (powder),16.27
Banana,47.37
Ginger,24.93
Garlic,39.28
