Date 03/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.89,65,,
Unit:(Rs./Kg.),Wheat,31.91,58,,
,Atta (Wheat),37.59,71,,
,Gram Dal,87.54,140,,
,Tur/Arhar Dal,131.01,183,,
,Urad Dal,119.1,156,,
,Moong Dal,112.02,150,,
,Masoor Dal,88.22,130,,
,Sugar,45.69,60,,
,Milk @,58.52,80,,
,Groundnut Oil (Packed),191.66,279,,
,Mustard Oil (Packed),168.79,234,,
,Vanaspati (Packed),152.81,209,,
,Soya Oil (Packed),146.2,192,,
,Sunflower Oil (Packed),158.85,211,,
,Palm Oil (Packed),138.72,177,,
,Gur,54.34,130,,
,Tea Loose,271.56,520,,
,Salt Pack (Iodised),21.41,31,,
,Potato,23.5,57,,
,Onion,31.42,80,,
,Tomato,21.05,100,,
