,Date 12/07/2026
Rice,43.91
Broken Rice,31.65
Wheat,31.33
Atta (Wheat),37.06
Gram Dal,84.08
Tur/Arhar Dal,121.22
Urad Dal,119.42
Moong Dal,109.88
Masoor Dal,88.51
Sugar,47.15
Milk @,59.36
Groundnut Oil (Packed),204.95
Mustard Oil (Packed),192.7
Vanaspati (Packed),161.84
Soya Oil (Packed),163.04
Sunflower Oil (Packed),188.49
Palm Oil (Packed),148.08
Gur,57.82
Tea Loose,264.85
Salt Pack (Iodised),22.22
Potato,21.83
Onion,32.85
Tomato,40.05
Bajra (whole),37.98
Jowar (whole),43.83
Maida (wheat),40.93
Ragi (whole),55.44
Suji (whole),44.31
Besan,94.77
Desi Ghee,687.65
Butter (Pasteurised),59.4
Eggs,83.1
Brinjal,40.16
Black Pepper (whole),87.4
Coriander (whole),39.91
Cummin Seed (whole),40.0
Red Chillies (whole),28.93
Turmeric (powder),16.18
Banana,48.55
Ginger,37.04
Garlic,40.17
