Date 21/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.94,61,,
Unit:(Rs./Kg.),Wheat,31.88,54,,
,Atta (Wheat),37.16,71,,
,Gram Dal,84.66,122,,
,Tur/Arhar Dal,113.5,160,,
,Urad Dal,112.78,152,,
,Moong Dal,108.97,148,,
,Masoor Dal,87.77,142,,
,Sugar,45.97,60,,
,Milk @,58.35,85,,
,Groundnut Oil (Packed),188.04,286,,
,Mustard Oil (Packed),186.11,257,,
,Vanaspati (Packed),154.72,231,,
,Soya Oil (Packed),146.37,194,,
,Sunflower Oil (Packed),166.08,231,,
,Palm Oil (Packed),133.24,173,,
,Gur,55.53,120,,
,Tea Loose,260.92,560,,
,Salt Pack (Iodised),21.6,36,,
,Potato,24.35,56,,
,Onion,27.53,60,,
,Tomato,48.77,120,,
