Date 13/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.74,64,,
Unit:(Rs./Kg.),Wheat,31.19,55,,
,Atta (Wheat),36.78,70,,
,Gram Dal,86.67,140,,
,Tur/Arhar Dal,127,190,,
,Urad Dal,117.71,153,,
,Moong Dal,111.49,150,,
,Masoor Dal,88.19,130,,
,Sugar,45.83,62,,
,Milk @,58.83,82,,
,Groundnut Oil (Packed),189.43,264,,
,Mustard Oil (Packed),169.59,242,,
,Vanaspati (Packed),154.83,220,,
,Soya Oil (Packed),146.51,196,,
,Sunflower Oil (Packed),160.49,209,,
,Palm Oil (Packed),135.28,182,,
,Gur,54.64,120,,
,Tea Loose,270.87,600,,
,Salt Pack (Iodised),21.43,31,,
,Potato,24.35,60,,
,Onion,27.2,67,,
,Tomato,22.96,100,,
