Date 29/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.67,64,,
Unit:(Rs./Kg.),Wheat,31.46,55,,
,Atta (Wheat),36.92,70,,
,Gram Dal,86.52,140,,
,Tur/Arhar Dal,124.54,185,,
,Urad Dal,116.73,157,,
,Moong Dal,111.83,148,,
,Masoor Dal,88.12,130,,
,Sugar,46.02,62,,
,Milk @,59.26,82,,
,Groundnut Oil (Packed),187.61,254,,
,Mustard Oil (Packed),170.72,242,,
,Vanaspati (Packed),156.03,231,,
,Soya Oil (Packed),147.46,191,,
,Sunflower Oil (Packed),161.26,231,,
,Palm Oil (Packed),134.24,182,,
,Gur,55.3,140,,
,Tea Loose,269.33,520,,
,Salt Pack (Iodised),21.48,31,,
,Potato,24.56,60,,
,Onion,26.09,60,,
,Tomato,25.48,100,,
