,Date 31/01/2026
Rice,42.58
Wheat,31.82
Atta (Wheat),37.44
Gram Dal,85.41
Tur/Arhar Dal,117.25
Urad Dal,114.55
Moong Dal,110.39
Masoor Dal,88.75
Sugar,46.33
Milk @,59.32
Groundnut Oil (Packed),188.68
Mustard Oil (Packed),186.82
Vanaspati (Packed),156.79
Soya Oil (Packed),148.85
Sunflower Oil (Packed),171.77
Palm Oil (Packed),134.54
Gur,56.72
Tea Loose,269.18
Salt Pack (Iodised),21.48
Potato,22.65
Onion,28.11
Tomato,37.93
Bajra (whole),38.28
Jowar (whole),43.65
Maida (wheat),41.62
Ragi (whole),54.19
Suji (whole),46.31
Besan,95.79
Desi Ghee,678.96
Butter (Pasteurised),58.86
Eggs,83.51
Brinjal,40.49
Black Pepper (whole),86.96
Coriander (whole),37.45
Cummin Seed (whole),41.05
Red Chillies (whole),27.73
Turmeric (powder),16.12
Banana,47.33
Ginger,24.51
Garlic,38.62
