,Date 28/02/2026
Rice,42.99
Wheat,31.43
Atta (Wheat),37.18
Gram Dal,85.64
Tur/Arhar Dal,121.17
Urad Dal,117.12
Moong Dal,111.06
Masoor Dal,88.83
Sugar,46.46
Milk @,59.4
Groundnut Oil (Packed),194.03
Mustard Oil (Packed),186.4
Vanaspati (Packed),157.28
Soya Oil (Packed),150.7
Sunflower Oil (Packed),175.15
Palm Oil (Packed),136.31
Gur,56.86
Tea Loose,269.3
Salt Pack (Iodised),21.61
Potato,21.48
Onion,26.78
Tomato,29.68
Bajra (whole),38.12
Jowar (whole),44.3
Maida (wheat),41.82
Ragi (whole),54.48
Suji (whole),46.34
Besan,96.04
Desi Ghee,681.37
Butter (Pasteurised),58.98
Eggs,81.26
Brinjal,39.16
Black Pepper (whole),87.23
Coriander (whole),37.75
Cummin Seed (whole),41.04
Red Chillies (whole),28.05
Turmeric (powder),16.14
Banana,47.81
Ginger,24.81
Garlic,38.65
