Date 12/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.57,68,29,40,54,53.5,46,41.88,37.89,44,37.71,40,52,54.5,38.38,39,40.83,44,39.41,53.91,49.43,47.5,38,48,51,37.2,49.91,43.07,38.95,65,39.87,41.64,49.33,57.85,56.2,37.75,39.4,36,44
Unit:(Rs./Kg.),Wheat,31.81,58,22,28,,42.5,45,36.62,29.08,31,33.14,30,40,50,34.63,29.25,24,34.4,31.94,42.63,47,,29.98,40,49,43,42.13,42.57,38.73,48,27.27,29.5,38.83,46.03,40.6,,28.51,26,30.88
,Atta (Wheat),36.97,70,29,35,68.5,45.25,43.67,39.56,34.73,36,38.71,34,47,45,35.88,34.25,36.08,40.57,36.35,44.72,46.36,47,34.65,44.74,49,42.1,48.27,49.4,42.52,47,33.47,33.64,39.33,54.91,44.4,41,33.87,37.5,39.33
,Gram Dal,95.26,145,70,90,113.5,102,106.67,96.4,88.3,90,99,100,102.5,106.5,93.38,92,98.92,96.71,93.38,95.25,112.23,132.5,92.59,99.42,113,109.67,101.13,101.64,98.3,102,98.33,89.36,95.33,102.21,89.8,101.33,89.2,90.5,91.9
,Tur/Arhar Dal,161.72,196,123,160,169,169,180,167.52,155.62,165,156.29,167,170.5,166.5,166.5,166.75,165.25,171.5,158.53,157.97,175.23,180,156.52,166.42,178,179.2,157.43,166.44,156.05,185,167.67,162.82,170,171.85,164.1,165.67,153.59,166.5,164.1
,Urad Dal,124.93,173,85,120,161.5,131.25,123.33,111.79,121.08,125,116.29,147,150.5,155,123.13,118,134.25,128.29,122.59,130.72,143.08,141,118.65,129.11,140,133,135.29,123.13,118.6,149,130.87,119.68,124.33,136.97,128.2,129,120.64,115,125.43
,Moong Dal,116.22,160,87,120,138.5,121.75,116.67,116.32,112.84,116,115,127,127.5,131.5,110.63,117,117.58,122,113.29,118.38,131.92,128.5,109.53,120.42,128,122.8,139.88,121.4,114.05,113,116.6,107.61,125,121.33,115.8,113.25,111.97,117,118
,Masoor Dal,90.33,160,74,90,105,93.25,103.33,91.16,80.62,90,90.43,90,95,100.5,85.75,86,87.67,103.71,82.71,93.56,101.85,130,86.88,93.95,93,88.1,98.45,98.13,83,98,92.73,86.96,93.33,92.23,93.1,108.75,87.76,97,96.86
,Sugar,44.99,60,33,44,54.5,44.25,55,47.52,44.7,45,43.14,45,43,44,43,44.75,47.17,50,45.31,43.06,43.93,55,42.63,43.63,54,49.4,51.82,50.14,45.05,49,44.6,42.61,51.5,44.21,40.2,50.5,44.03,43.5,46.1
,Milk @,58.66,83,39,60,74,57.25,75.67,72.55,56.22,60,61,56,66,59,63.25,58.25,52.92,51.57,59.13,51.25,54.36,60,55.69,58.95,,73.6,78.55,72.85,53.25,48,59.67,52.43,64.17,47.39,58.1,74.25,61.83,62.5,56.1
,Groundnut Oil (Packed),195.38,275,132,183,262,176.25,169,199.38,191.33,183,198.67,216,214.5,241,188.88,211.75,225.75,,195.08,185.78,235.33,,194.18,197.68,,,152,,204,247,233.15,187,,215.21,169.1,,198.72,162,209.89
,Mustard Oil (Packed),167.2,221,124,173,174,173.75,179,168.84,155.91,139,165.86,178,191.5,184,175.38,156.5,185.58,187.33,172.76,171.38,195.8,172,164.24,184.06,181,166,180.89,153.73,182.55,150,171.47,152.75,187.83,184.85,163,178.5,161.53,152.5,168.5
,Vanaspati (Packed),142.44,209,92,143,153,133.75,137,145.84,134.51,124,131.29,163,169,162,140.5,135.5,156.67,154.86,145,129.59,168.69,165,138.35,148.95,154,157,134.43,152.33,145.75,159,165.8,129.63,140.83,156,112.22,139,140.64,140,140.37
,Soya Oil (Packed),141.18,198,92,154,,136,146.67,144,137.31,119,131.71,158,151.5,168.5,140.63,138,146.1,148.14,146.41,137.59,146,194,141.08,149.16,154,152.6,132.91,157.4,144.17,,156,131.58,154.17,,114.38,149.5,140.67,133.5,137.2
,Sunflower Oil (Packed),147.86,220,105,155,145,154.75,163.5,149.1,149.71,120,135.71,159,160.5,158.5,143.38,143.75,150.75,161.4,157.2,143.34,157.29,,146.53,153.79,,186,147.8,171.5,151.19,135,160.23,139.9,167.5,151.24,137.5,169,148,154,145.21
,Palm Oil (Packed),128.94,170,91,142.5,129,135.5,,122.13,117.52,100,128.17,137,127,137,136,116.75,114.5,133,125.69,124.34,149.83,,116.76,136.69,154,125,121.29,146,138.53,121,137.92,113.71,,139.03,124.1,135,119.38,93,122
,Gur,55.38,130,34,50,79.5,60.5,86.67,61.44,47.46,55,51,62,64,59,55.5,53.75,49.92,52.86,51.19,52.09,61.62,70,50.44,56.05,84,78.4,106.8,77.33,53.24,60,52,45.29,61,58.3,53.5,71.75,52.01,55,53.2
,Tea Loose,271.11,520,154,200,306,299.25,340,249.44,273.51,269,221.29,245,295,322.5,209.38,239.75,268.17,316,250.69,243.81,233.91,480,229.69,307.11,240,368.3,491.18,315.36,280.17,335,274.07,298.16,401.67,284.48,284.78,227.75,238.43,255,262.3
,Salt Pack (Iodised),21.98,30,9,27,20.5,19.5,20,13.08,23.27,28,19.86,27,28,25.5,18.75,24.5,27.83,27.86,25.13,17.91,15.07,28,16.38,24.16,25,18.9,29.82,17.8,25.9,26,26.47,19.73,21.33,24.59,20.1,11,26.12,27.5,24.15
