Date 08/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.22,65,,
Unit:(Rs./Kg.),Wheat,31.71,54,,
,Atta (Wheat),36.98,71,,
,Gram Dal,86.53,140,,
,Tur/Arhar Dal,115.65,190,,
,Urad Dal,113.68,152,,
,Moong Dal,110.25,148,,
,Masoor Dal,89.65,142,,
,Sugar,46.6,60,,
,Milk @,59.17,85,,
,Groundnut Oil (Packed),188.26,286,,
,Mustard Oil (Packed),186.51,249,,
,Vanaspati (Packed),156.19,231,,
,Soya Oil (Packed),146.9,198,,
,Sunflower Oil (Packed),164.85,242,,
,Palm Oil (Packed),132.33,187,,
,Gur,57.07,137,,
,Tea Loose,273.3,650,,
,Salt Pack (Iodised),21.56,35,,
,Potato,26.17,65,,
,Onion,26.38,60,,
,Tomato,48.23,120,,
