Date 19/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.24,64,,
Unit:(Rs./Kg.),Wheat,31.72,54,,
,Atta (Wheat),37.19,71,,
,Gram Dal,86.56,140,,
,Tur/Arhar Dal,115.3,182,,
,Urad Dal,113.62,155,,
,Moong Dal,110.54,148,,
,Masoor Dal,89.75,142,,
,Sugar,46.62,60,,
,Milk @,59.31,85,,
,Groundnut Oil (Packed),188.05,286,,
,Mustard Oil (Packed),186.53,257,,
,Vanaspati (Packed),156.53,231,,
,Soya Oil (Packed),146.47,198,,
,Sunflower Oil (Packed),165.81,242,,
,Palm Oil (Packed),132.75,187,,
,Gur,57.31,137,,
,Tea Loose,271.56,560,,
,Salt Pack (Iodised),21.51,36,,
,Potato,25.58,56,,
,Onion,28.83,60,,
,Tomato,49.92,120,,
