,Date 11/09/2026
Rice,46.49
Broken Rice,33.67
Wheat,31.81
Atta (Wheat),37.55
Gram Dal,88.2
Tur/Arhar Dal,124.25
Urad Dal,122.97
Moong Dal,112.21
Masoor Dal,90.74
Sugar,59.98
Milk @,61.36
Groundnut Oil (Packed),209.23
Mustard Oil (Packed),201.95
Vanaspati (Packed),168.19
Soya Oil (Packed),166.28
Sunflower Oil (Packed),193.28
Palm Oil (Packed),151.64
Gur,67.16
Tea Loose,276.85
Salt Pack (Iodised),22.33
Potato,22.94
Onion,53.62
Tomato,39.22
Bajra (whole),38.94
Jowar (whole),45.51
Maida (wheat),42.55
Ragi (whole),55.65
Suji (whole),47.55
Besan,96.7
Desi Ghee,701.35
Butter (Pasteurised),60.47
Eggs,83.75
Brinjal,43.29
Black Pepper (whole),88.58
Coriander (whole),43.77
Cummin Seed (whole),41.01
Red Chillies (whole),30.39
Turmeric (powder),16.69
Banana,50.11
Ginger,36.83
Garlic,45.39
