,Date 07/07/2026
Rice,44.31
Broken Rice,33.0
Wheat,31.2
Atta (Wheat),36.85
Gram Dal,85.81
Tur/Arhar Dal,122.84
Urad Dal,119.34
Moong Dal,111.32
Masoor Dal,90.5
Sugar,47.17
Milk @,60.69
Groundnut Oil (Packed),204.66
Mustard Oil (Packed),193.82
Vanaspati (Packed),164.31
Soya Oil (Packed),162.9
Sunflower Oil (Packed),188.48
Palm Oil (Packed),147.41
Gur,58.78
Tea Loose,275.51
Salt Pack (Iodised),21.82
Potato,22.55
Onion,32.06
Tomato,42.27
Bajra (whole),38.03
Jowar (whole),44.33
Maida (wheat),42.21
Ragi (whole),55.21
Suji (whole),47.06
Besan,95.72
Desi Ghee,691.35
Butter (Pasteurised),59.54
Eggs,83.71
Brinjal,41.61
Black Pepper (whole),88.09
Coriander (whole),40.85
Cummin Seed (whole),41.01
Red Chillies (whole),29.47
Turmeric (powder),16.61
Banana,49.65
Ginger,35.03
Garlic,41.33
