,Date 31/03/2026
Rice,43.12
Wheat,31.26
Atta (Wheat),37.18
Gram Dal,85.55
Tur/Arhar Dal,122.11
Urad Dal,117.81
Moong Dal,111.45
Masoor Dal,89.19
Sugar,46.52
Milk @,59.72
Groundnut Oil (Packed),199.19
Mustard Oil (Packed),187.69
Vanaspati (Packed),158.78
Soya Oil (Packed),156.21
Sunflower Oil (Packed),182.98
Palm Oil (Packed),142.16
Gur,57.34
Tea Loose,270.58
Salt Pack (Iodised),21.34
Potato,20.73
Onion,25.41
Tomato,26.86
Bajra (whole),38.39
Jowar (whole),44.39
Maida (wheat),41.94
Ragi (whole),54.86
Suji (whole),46.62
Besan,95.59
Desi Ghee,685.06
Butter (Pasteurised),59.08
Eggs,77.32
Brinjal,38.57
Black Pepper (whole),87.24
Coriander (whole),38.25
Cummin Seed (whole),41.08
Red Chillies (whole),28.29
Turmeric (powder),16.33
Banana,48.49
Ginger,24.7
Garlic,37.26
