,Date 27/01/2026
Rice,43.1
Wheat,31.69
Atta (Wheat),37.21
Gram Dal,85.89
Tur/Arhar Dal,116.41
Urad Dal,114.08
Moong Dal,110.44
Masoor Dal,89.67
Sugar,46.4
Milk @,59.18
Groundnut Oil (Packed),190.16
Mustard Oil (Packed),185.95
Vanaspati (Packed),156.19
Soya Oil (Packed),147.76
Sunflower Oil (Packed),169.43
Palm Oil (Packed),133.35
Gur,57.18
Tea Loose,271.49
Salt Pack (Iodised),21.5
Potato,23.18
Onion,28.69
Tomato,42.01
Bajra (whole),37.72
Jowar (whole),43.59
Maida (wheat),41.92
Ragi (whole),54.41
Suji (whole),47.05
Besan,95.95
Desi Ghee,676.2
Butter (Pasteurised),59.03
Eggs,83.76
Brinjal,41.61
Black Pepper (whole),87.17
Coriander (whole),37.63
Cummin Seed (whole),41.13
Red Chillies (whole),27.68
Turmeric (powder),16.26
Banana,47.33
Ginger,24.94
Garlic,38.9
