Date 17/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.78,65,,
Unit:(Rs./Kg.),Wheat,32.69,57,,
,Atta (Wheat),37.67,70,,
,Gram Dal,92.63,140,,
,Tur/Arhar Dal,152.64,188,,
,Urad Dal,123.28,166,,
,Moong Dal,113.58,150,,
,Masoor Dal,88.99,130,,
,Sugar,44.7,60,,
,Milk @,58.95,82,,
,Groundnut Oil (Packed),192.7,290,,
,Mustard Oil (Packed),168.7,236,,
,Vanaspati (Packed),147.66,211,,
,Soya Oil (Packed),143.79,194,,
,Sunflower Oil (Packed),154.09,209,,
,Palm Oil (Packed),134.71,176,,
,Gur,54.61,130,,
,Tea Loose,271.27,550,,
,Salt Pack (Iodised),21.86,31,,
,Potato,30.36,70,,
,Onion,39.1,87,,
,Tomato,31.06,100,,
