,Date 06/07/2026
Rice,44.0
Broken Rice,32.89
Wheat,31.24
Atta (Wheat),36.96
Gram Dal,85.81
Tur/Arhar Dal,122.75
Urad Dal,119.05
Moong Dal,111.15
Masoor Dal,90.02
Sugar,47.05
Milk @,60.46
Groundnut Oil (Packed),204.21
Mustard Oil (Packed),193.5
Vanaspati (Packed),163.99
Soya Oil (Packed),163.46
Sunflower Oil (Packed),188.51
Palm Oil (Packed),147.65
Gur,58.24
Tea Loose,274.26
Salt Pack (Iodised),21.8
Potato,22.47
Onion,31.56
Tomato,41.98
Bajra (whole),38.36
Jowar (whole),44.53
Maida (wheat),42.08
Ragi (whole),54.93
Suji (whole),46.65
Besan,95.73
Desi Ghee,692.29
Butter (Pasteurised),59.5
Eggs,83.33
Brinjal,41.32
Black Pepper (whole),87.83
Coriander (whole),40.77
Cummin Seed (whole),41.01
Red Chillies (whole),29.35
Turmeric (powder),16.54
Banana,49.47
Ginger,34.45
Garlic,40.84
