,Date 26/07/2026
Rice,44.5
Broken Rice,32.21
Wheat,31.46
Atta (Wheat),37.26
Gram Dal,84.66
Tur/Arhar Dal,122.02
Urad Dal,120.81
Moong Dal,110.63
Masoor Dal,88.37
Sugar,48.68
Milk @,59.9
Groundnut Oil (Packed),204.53
Mustard Oil (Packed),195.48
Vanaspati (Packed),164.06
Soya Oil (Packed),163.69
Sunflower Oil (Packed),189.05
Palm Oil (Packed),148.82
Gur,58.93
Tea Loose,266.35
Salt Pack (Iodised),22.39
Potato,22.21
Onion,34.6
Tomato,38.82
Bajra (whole),38.43
Jowar (whole),44.42
Maida (wheat),41.38
Ragi (whole),55.36
Suji (whole),45.21
Besan,95.52
Desi Ghee,692.19
Butter (Pasteurised),59.85
Eggs,86.37
Brinjal,42.11
Black Pepper (whole),87.83
Coriander (whole),41.0
Cummin Seed (whole),40.61
Red Chillies (whole),29.47
Turmeric (powder),16.35
Banana,49.35
Ginger,37.89
Garlic,41.85
