Date 03/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.08,63,,
Unit:(Rs./Kg.),Wheat,31.25,55,,
,Atta (Wheat),37.08,70,,
,Gram Dal,86.56,140,,
,Tur/Arhar Dal,126.35,185,,
,Urad Dal,117.6,155,,
,Moong Dal,111.8,150,,
,Masoor Dal,87.74,130,,
,Sugar,45.74,60,,
,Milk @,59.05,80,,
,Groundnut Oil (Packed),187.57,253,,
,Mustard Oil (Packed),169.9,231,,
,Vanaspati (Packed),154.62,212,,
,Soya Oil (Packed),147.03,192,,
,Sunflower Oil (Packed),160.74,211,,
,Palm Oil (Packed),136.66,189,,
,Gur,54.26,120,,
,Tea Loose,268.52,527,,
,Salt Pack (Iodised),21.27,31,,
,Potato,23.56,60,,
,Onion,27.31,67,,
,Tomato,21.7,83,,
