,Date 26/06/2026
Rice,43.16
Broken Rice,32.33
Wheat,31.14
Atta (Wheat),37.01
Gram Dal,84.84
Tur/Arhar Dal,122.23
Urad Dal,118.37
Moong Dal,111.02
Masoor Dal,89.49
Sugar,47.08
Milk @,60.91
Groundnut Oil (Packed),205.23
Mustard Oil (Packed),192.99
Vanaspati (Packed),162.77
Soya Oil (Packed),163.49
Sunflower Oil (Packed),188.14
Palm Oil (Packed),147.88
Gur,58.61
Tea Loose,270.36
Salt Pack (Iodised),21.81
Potato,21.47
Onion,28.61
Tomato,44.28
Bajra (whole),37.76
Jowar (whole),43.73
Maida (wheat),41.84
Ragi (whole),55.14
Suji (whole),46.78
Besan,95.37
Desi Ghee,691.43
Butter (Pasteurised),59.44
Eggs,82.33
Brinjal,41.15
Black Pepper (whole),87.93
Coriander (whole),40.5
Cummin Seed (whole),41.44
Red Chillies (whole),29.52
Turmeric (powder),16.53
Banana,49.16
Ginger,31.15
Garlic,39.7
