Date 15/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.13,64,,
Unit:(Rs./Kg.),Wheat,31.48,55,,
,Atta (Wheat),36.97,71,,
,Gram Dal,87.13,140,,
,Tur/Arhar Dal,114.97,182,,
,Urad Dal,113.71,157,,
,Moong Dal,110.32,150,,
,Masoor Dal,89.52,140,,
,Sugar,46.54,60,,
,Milk @,59.17,85,,
,Groundnut Oil (Packed),187.66,286,,
,Mustard Oil (Packed),187.99,257,,
,Vanaspati (Packed),156.59,264,,
,Soya Oil (Packed),146.55,198,,
,Sunflower Oil (Packed),163.41,231,,
,Palm Oil (Packed),132.92,190,,
,Gur,57.33,140,,
,Tea Loose,272.82,600,,
,Salt Pack (Iodised),21.36,35,,
,Potato,25.38,60,,
,Onion,26.64,62,,
,Tomato,38.21,120,,
