Date 18/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.06,65,,
Unit:(Rs./Kg.),Wheat,31.84,58,,
,Atta (Wheat),37.6,68,,
,Gram Dal,86.77,140,,
,Tur/Arhar Dal,128.3,185,,
,Urad Dal,118.4,152,,
,Moong Dal,111.5,150,,
,Masoor Dal,88.04,130,,
,Sugar,45.71,60,,
,Milk @,59.19,80,,
,Groundnut Oil (Packed),188.46,251,,
,Mustard Oil (Packed),170.6,227,,
,Vanaspati (Packed),153.59,209,,
,Soya Oil (Packed),147.31,211,,
,Sunflower Oil (Packed),159.51,211,,
,Palm Oil (Packed),137.6,177,,
,Gur,54.41,120,,
,Tea Loose,269.98,520,,
,Salt Pack (Iodised),21.42,31,,
,Potato,23.07,52,,
,Onion,29.37,63,,
,Tomato,21.57,100,,
