,Date 21/08/2026
Rice,45.56
Broken Rice,33.25
Wheat,31.58
Atta (Wheat),37.32
Gram Dal,87.33
Tur/Arhar Dal,123.68
Urad Dal,122.17
Moong Dal,112.13
Masoor Dal,90.52
Sugar,58.23
Milk @,60.9
Groundnut Oil (Packed),208.9
Mustard Oil (Packed),199.49
Vanaspati (Packed),166.96
Soya Oil (Packed),164.9
Sunflower Oil (Packed),191.84
Palm Oil (Packed),150.13
Gur,63.19
Tea Loose,275.43
Salt Pack (Iodised),22.3
Potato,22.57
Onion,40.79
Tomato,39.03
Bajra (whole),38.48
Jowar (whole),44.97
Maida (wheat),42.39
Ragi (whole),55.89
Suji (whole),47.37
Besan,96.5
Desi Ghee,695.57
Butter (Pasteurised),60.26
Eggs,84.59
Brinjal,43.73
Black Pepper (whole),88.51
Coriander (whole),42.72
Cummin Seed (whole),41.02
Red Chillies (whole),30.25
Turmeric (powder),16.57
Banana,50.66
Ginger,37.39
Garlic,44.29
