Date 20/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.1,63,,
Unit:(Rs./Kg.),Wheat,31.57,56,,
,Atta (Wheat),37.41,65,,
,Gram Dal,85.57,102,,
,Tur/Arhar Dal,126.16,175,,
,Urad Dal,117.79,152,,
,Moong Dal,110.73,150,,
,Masoor Dal,86.87,110,,
,Sugar,45.45,60,,
,Milk @,57.96,80,,
,Groundnut Oil (Packed),188.94,251,,
,Mustard Oil (Packed),170.8,227,,
,Vanaspati (Packed),153.17,209,,
,Soya Oil (Packed),147.58,181,,
,Sunflower Oil (Packed),161.42,211,,
,Palm Oil (Packed),139.6,177,,
,Gur,53.74,120,,
,Tea Loose,265.09,520,,
,Salt Pack (Iodised),21.56,31,,
,Potato,22.78,48,,
,Onion,28.14,67,,
,Tomato,20.56,100,,
