,Date 17/08/2026
Rice,45.74
Broken Rice,33.35
Wheat,31.5
Atta (Wheat),37.27
Gram Dal,87.21
Tur/Arhar Dal,123.78
Urad Dal,122.39
Moong Dal,112.2
Masoor Dal,90.47
Sugar,51.68
Milk @,61.02
Groundnut Oil (Packed),206.66
Mustard Oil (Packed),198.34
Vanaspati (Packed),166.76
Soya Oil (Packed),164.91
Sunflower Oil (Packed),191.13
Palm Oil (Packed),148.78
Gur,61.28
Tea Loose,276.43
Salt Pack (Iodised),22.26
Potato,22.92
Onion,37.2
Tomato,38.92
Bajra (whole),38.6
Jowar (whole),44.87
Maida (wheat),42.53
Ragi (whole),55.5
Suji (whole),47.41
Besan,96.31
Desi Ghee,696.1
Butter (Pasteurised),60.23
Eggs,84.86
Brinjal,43.56
Black Pepper (whole),88.43
Coriander (whole),42.46
Cummin Seed (whole),40.97
Red Chillies (whole),30.2
Turmeric (powder),16.7
Banana,50.53
Ginger,37.33
Garlic,44.12
