,Date 14/09/2026
Rice,45.59
Broken Rice,33.65
Wheat,31.61
Atta (Wheat),37.39
Gram Dal,88.25
Tur/Arhar Dal,124.51
Urad Dal,122.75
Moong Dal,112.26
Masoor Dal,91.09
Sugar,59.57
Milk @,61.45
Groundnut Oil (Packed),210.95
Mustard Oil (Packed),201.7
Vanaspati (Packed),168.4
Soya Oil (Packed),166.01
Sunflower Oil (Packed),194.11
Palm Oil (Packed),153.59
Gur,67.44
Tea Loose,274.65
Salt Pack (Iodised),22.22
Potato,22.26
Onion,53.92
Tomato,40.29
Bajra (whole),38.28
Jowar (whole),44.73
Maida (wheat),42.53
Ragi (whole),56.62
Suji (whole),47.64
Besan,96.9
Desi Ghee,698.72
Butter (Pasteurised),60.43
Eggs,84.29
Brinjal,43.47
Black Pepper (whole),88.47
Coriander (whole),44.14
Cummin Seed (whole),41.02
Red Chillies (whole),30.81
Turmeric (powder),16.74
Banana,50.15
Ginger,36.82
Garlic,45.09
