,Date 25/04/2026
Rice,42.78
Wheat,30.87
Atta (Wheat),36.7
Gram Dal,84.98
Tur/Arhar Dal,122.11
Urad Dal,117.86
Moong Dal,111.49
Masoor Dal,89.15
Sugar,46.55
Milk @,60.07
Groundnut Oil (Packed),200.18
Mustard Oil (Packed),188.64
Vanaspati (Packed),160.59
Soya Oil (Packed),159.49
Sunflower Oil (Packed),185.35
Palm Oil (Packed),143.94
Gur,57.5
Tea Loose,272.35
Salt Pack (Iodised),21.4
Potato,20.32
Onion,24.79
Tomato,31.86
Bajra (whole),37.73
Jowar (whole),43.59
Maida (wheat),41.76
Ragi (whole),54.58
Suji (whole),46.55
Besan,95.9
Desi Ghee,686.12
Butter (Pasteurised),58.87
Eggs,78.03
Brinjal,39.9
Black Pepper (whole),87.2
Coriander (whole),38.49
Cummin Seed (whole),41.35
Red Chillies (whole),28.67
Turmeric (powder),16.29
Banana,48.22
Ginger,25.23
Garlic,37.04
