Date 26/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,65,,
Unit:(Rs./Kg.),Wheat,32.32,57,,
,Atta (Wheat),37.36,71,,
,Gram Dal,93.55,140,,
,Tur/Arhar Dal,157.3,189,,
,Urad Dal,123.63,170,,
,Moong Dal,113.78,150,,
,Masoor Dal,89.38,130,,
,Sugar,44.62,60,,
,Milk @,58.65,85,,
,Groundnut Oil (Packed),194.86,275,,
,Mustard Oil (Packed),168.88,220,,
,Vanaspati (Packed),146.78,211,,
,Soya Oil (Packed),143.16,194,,
,Sunflower Oil (Packed),154.46,209,,
,Palm Oil (Packed),134.54,176,,
,Gur,54.45,127,,
,Tea Loose,268.06,520,,
,Salt Pack (Iodised),21.98,31,,
,Potato,34.98,90,,
,Onion,45.15,100,,
,Tomato,42.12,110,,
