Date 09/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.9,65,,
Unit:(Rs./Kg.),Wheat,31.49,58,,
,Atta (Wheat),37.35,71,,
,Gram Dal,87.56,140,,
,Tur/Arhar Dal,130.38,184,,
,Urad Dal,119.02,156,,
,Moong Dal,112.1,150,,
,Masoor Dal,88.38,130,,
,Sugar,45.66,60,,
,Milk @,58.5,80,,
,Groundnut Oil (Packed),190.84,279,,
,Mustard Oil (Packed),168.64,234,,
,Vanaspati (Packed),152.95,211,,
,Soya Oil (Packed),146.03,211,,
,Sunflower Oil (Packed),159.18,211,,
,Palm Oil (Packed),138.54,182,,
,Gur,54.33,130,,
,Tea Loose,270.95,520,,
,Salt Pack (Iodised),21.33,31,,
,Potato,23.61,53,,
,Onion,30.61,80,,
,Tomato,21.13,100,,
