,Date 22/02/2026
Rice,42.13
Wheat,31.95
Atta (Wheat),37.59
Gram Dal,84.22
Tur/Arhar Dal,119.51
Urad Dal,116.1
Moong Dal,109.65
Masoor Dal,87.9
Sugar,45.94
Milk @,58.52
Groundnut Oil (Packed),193.24
Mustard Oil (Packed),185.84
Vanaspati (Packed),154.93
Soya Oil (Packed),150.79
Sunflower Oil (Packed),174.6
Palm Oil (Packed),137.42
Gur,55.85
Tea Loose,264.33
Salt Pack (Iodised),21.9
Potato,20.32
Onion,25.67
Tomato,28.47
Bajra (whole),37.42
Jowar (whole),43.28
Maida (wheat),40.92
Ragi (whole),55.03
Suji (whole),44.76
Besan,95.0
Desi Ghee,678.41
Butter (Pasteurised),58.74
Eggs,82.18
Brinjal,38.37
Black Pepper (whole),86.77
Coriander (whole),36.9
Cummin Seed (whole),39.72
Red Chillies (whole),27.66
Turmeric (powder),15.86
Banana,46.3
Ginger,24.33
Garlic,37.67
