Date 21/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.7,64,,
Unit:(Rs./Kg.),Wheat,31.23,55,,
,Atta (Wheat),36.78,70,,
,Gram Dal,86.69,140,,
,Tur/Arhar Dal,126.47,185,,
,Urad Dal,117.4,157,,
,Moong Dal,111.31,149,,
,Masoor Dal,88.3,130,,
,Sugar,45.87,62,,
,Milk @,58.81,80,,
,Groundnut Oil (Packed),188.56,264,,
,Mustard Oil (Packed),170.55,242,,
,Vanaspati (Packed),154.7,231,,
,Soya Oil (Packed),146.8,192,,
,Sunflower Oil (Packed),160.64,231,,
,Palm Oil (Packed),135.23,182,,
,Gur,54.69,123,,
,Tea Loose,270.91,600,,
,Salt Pack (Iodised),21.37,31,,
,Potato,24.43,60,,
,Onion,26.57,60,,
,Tomato,24.12,100,,
