Date 14/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.25,65,,
Unit:(Rs./Kg.),Wheat,32.84,57,,
,Atta (Wheat),37.81,70,,
,Gram Dal,92.73,140,,
,Tur/Arhar Dal,153.02,190,,
,Urad Dal,123.13,170,,
,Moong Dal,113.67,150,,
,Masoor Dal,89.27,130,,
,Sugar,44.88,60,,
,Milk @,59.15,82,,
,Groundnut Oil (Packed),193.24,275,,
,Mustard Oil (Packed),167.99,221,,
,Vanaspati (Packed),147.41,211,,
,Soya Oil (Packed),143.72,194,,
,Sunflower Oil (Packed),154.4,209,,
,Palm Oil (Packed),134.89,165,,
,Gur,54.68,130,,
,Tea Loose,270.58,520,,
,Salt Pack (Iodised),22.06,31,,
,Potato,30.15,65,,
,Onion,39.38,87,,
,Tomato,31.78,100,,
