Date 08/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.7,63,,
Unit:(Rs./Kg.),Wheat,31.28,55,,
,Atta (Wheat),36.67,71,,
,Gram Dal,86.17,135,,
,Tur/Arhar Dal,121.39,180,,
,Urad Dal,115.6,170,,
,Moong Dal,110.87,148,,
,Masoor Dal,88.25,125,,
,Sugar,45.98,62,,
,Milk @,59.04,82,,
,Groundnut Oil (Packed),188.56,279,,
,Mustard Oil (Packed),174.77,242,,
,Vanaspati (Packed),156.02,231,,
,Soya Oil (Packed),146.24,194,,
,Sunflower Oil (Packed),160.05,231,,
,Palm Oil (Packed),130.57,177,,
,Gur,55.85,133,,
,Tea Loose,270.24,600,,
,Salt Pack (Iodised),21.43,32,,
,Potato,25.77,60,,
,Onion,28.43,75,,
,Tomato,40.62,120,,
