Date 25/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.91,63,,
Unit:(Rs./Kg.),Wheat,31.4,55,,
,Atta (Wheat),36.73,71,,
,Gram Dal,86.56,140,,
,Tur/Arhar Dal,119.76,183,,
,Urad Dal,115.15,170,,
,Moong Dal,110.76,148,,
,Masoor Dal,88.57,130,,
,Sugar,45.98,60,,
,Milk @,59.11,83,,
,Groundnut Oil (Packed),188.38,279,,
,Mustard Oil (Packed),182.12,253,,
,Vanaspati (Packed),156.36,231,,
,Soya Oil (Packed),147.13,190,,
,Sunflower Oil (Packed),160.59,253,,
,Palm Oil (Packed),130.33,169,,
,Gur,56.13,128,,
,Tea Loose,272.95,520,,
,Salt Pack (Iodised),21.41,32,,
,Potato,25.8,60,,
,Onion,28.25,60,,
,Tomato,44.23,120,,
