,Date 27/02/2026
Rice,43.01
Wheat,31.49
Atta (Wheat),36.96
Gram Dal,85.8
Tur/Arhar Dal,121.28
Urad Dal,116.6
Moong Dal,110.57
Masoor Dal,88.96
Sugar,46.3
Milk @,59.17
Groundnut Oil (Packed),194.8
Mustard Oil (Packed),186.31
Vanaspati (Packed),156.61
Soya Oil (Packed),150.78
Sunflower Oil (Packed),174.73
Palm Oil (Packed),136.16
Gur,56.71
Tea Loose,270.35
Salt Pack (Iodised),21.42
Potato,21.85
Onion,26.96
Tomato,30.1
Bajra (whole),37.72
Jowar (whole),43.84
Maida (wheat),41.95
Ragi (whole),54.58
Suji (whole),46.54
Besan,96.2
Desi Ghee,679.86
Butter (Pasteurised),59.04
Eggs,81.57
Brinjal,39.22
Black Pepper (whole),87.2
Coriander (whole),38.01
Cummin Seed (whole),40.83
Red Chillies (whole),28.2
Turmeric (powder),16.38
Banana,47.49
Ginger,24.82
Garlic,38.32
