Date 23/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.78,64,,
Unit:(Rs./Kg.),Wheat,31.27,55,,
,Atta (Wheat),36.8,70,,
,Gram Dal,86.64,140,,
,Tur/Arhar Dal,125.88,185,,
,Urad Dal,117.25,157,,
,Moong Dal,111.35,148,,
,Masoor Dal,88.26,130,,
,Sugar,45.9,62,,
,Milk @,59.02,80,,
,Groundnut Oil (Packed),187.82,254,,
,Mustard Oil (Packed),170.55,242,,
,Vanaspati (Packed),155.07,231,,
,Soya Oil (Packed),147.22,191,,
,Sunflower Oil (Packed),161.02,231,,
,Palm Oil (Packed),134.77,182,,
,Gur,54.9,128,,
,Tea Loose,271.71,600,,
,Salt Pack (Iodised),21.55,31,,
,Potato,24.51,60,,
,Onion,26.37,62,,
,Tomato,24.37,100,,
