Date 14/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.77,65,,
Unit:(Rs./Kg.),Wheat,32.24,58,,
,Atta (Wheat),37.52,70,,
,Gram Dal,93.78,140,,
,Tur/Arhar Dal,157.9,190,,
,Urad Dal,123.65,160,,
,Moong Dal,114.01,160,,
,Masoor Dal,88.96,140,,
,Sugar,44.95,60,,
,Milk @,59.42,82,,
,Groundnut Oil (Packed),193.86,275,,
,Mustard Oil (Packed),169.81,212,,
,Vanaspati (Packed),146.29,188,,
,Soya Oil (Packed),144.73,198,,
,Sunflower Oil (Packed),153.79,210,,
,Palm Oil (Packed),133.7,166,,
,Gur,54.88,130,,
,Tea Loose,270.82,520,,
,Salt Pack (Iodised),22.18,31,,
,Potato,36.6,83,,
,Onion,51.74,100,,
,Tomato,47.28,117,,
