Date 24/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.63,61,,
Unit:(Rs./Kg.),Wheat,31.69,54,,
,Atta (Wheat),37.07,69,,
,Gram Dal,85.83,117,,
,Tur/Arhar Dal,114.8,160,,
,Urad Dal,113.55,157,,
,Moong Dal,109.32,140,,
,Masoor Dal,87.76,123,,
,Sugar,45.87,57,,
,Milk @,58.51,85,,
,Groundnut Oil (Packed),187.26,254,,
,Mustard Oil (Packed),188.63,242,,
,Vanaspati (Packed),154.57,231,,
,Soya Oil (Packed),147.22,187,,
,Sunflower Oil (Packed),160.61,253,,
,Palm Oil (Packed),131.45,190,,
,Gur,55.69,127,,
,Tea Loose,264.82,520,,
,Salt Pack (Iodised),21.46,33,,
,Potato,24.82,60,,
,Onion,27.37,60,,
,Tomato,54.14,113,,
