Date 04/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.94,63,,
Unit:(Rs./Kg.),Wheat,31.56,54,,
,Atta (Wheat),36.87,71,,
,Gram Dal,87.18,140,,
,Tur/Arhar Dal,119.08,183,,
,Urad Dal,114.75,170,,
,Moong Dal,110.63,148,,
,Masoor Dal,89.05,140,,
,Sugar,46.13,60,,
,Milk @,58.96,83,,
,Groundnut Oil (Packed),189.1,279,,
,Mustard Oil (Packed),186.21,249,,
,Vanaspati (Packed),156.71,231,,
,Soya Oil (Packed),147.58,198,,
,Sunflower Oil (Packed),161.02,253,,
,Palm Oil (Packed),130.45,177,,
,Gur,56.37,130,,
,Tea Loose,272.29,600,,
,Salt Pack (Iodised),21.37,33,,
,Potato,25.89,57,,
,Onion,28.26,60,,
,Tomato,49.55,120,,
