Date 27/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.6,63,,
Unit:(Rs./Kg.),Wheat,31.14,55,,
,Atta (Wheat),36.59,68,,
,Gram Dal,86.19,140,,
,Tur/Arhar Dal,122.17,183,,
,Urad Dal,115.72,157,,
,Moong Dal,110.96,148,,
,Masoor Dal,88.17,130,,
,Sugar,45.9,60,,
,Milk @,58.98,82,,
,Groundnut Oil (Packed),187.94,254,,
,Mustard Oil (Packed),172.86,242,,
,Vanaspati (Packed),155.75,231,,
,Soya Oil (Packed),146.52,187,,
,Sunflower Oil (Packed),160.16,231,,
,Palm Oil (Packed),131.21,182,,
,Gur,55.48,150,,
,Tea Loose,269.61,600,,
,Salt Pack (Iodised),21.18,32,,
,Potato,25.8,60,,
,Onion,27.82,80,,
,Tomato,35.93,120,,
