Date 02/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.48,68,27,40,51.67,53,44.5,41.86,37.97,44,37.88,37,46,56,38.75,39,41.08,45.38,39,53.94,49.42,49,38.34,47.74,37.7,49.33,43.62,38.86,65,40.33,42.16,49,57.9,55.9,38.5,39.36,38,44.32
Unit:(Rs./Kg.),Wheat,32.06,58,22,30,,42.75,45,37.6,29.27,31,35.13,30,45,50,35,29.25,25,33.5,32,42.75,46.4,,29.96,40.32,44.11,41.71,42,38.81,48,29.93,29.55,38.5,46.11,40.6,,28.68,29,30.9
,Atta (Wheat),37.11,70,29,35,67.33,46.25,43,40.05,34.97,36,38.5,35,55,45.5,36,34.25,36.5,40.38,36.59,44.59,45.33,43,34.7,44.47,43.1,48.44,50.31,43.14,47,35.47,33.48,39.33,55.4,44.2,42.75,34.1,35,39.86
,Gram Dal,94.54,142,70,90,115.67,99.5,106.75,96,89.17,90,97.25,97,110,113.5,94,92,96.17,98.5,91.63,95.16,114.42,131,91.96,98.32,110,98.17,102.2,92.81,102,95.07,89.23,100.83,101.47,89.8,100.75,88.34,88.67,91.59
,Tur/Arhar Dal,159.93,193,117,160,176.33,170.25,174.5,161.24,155.22,165,159.88,147,182,166,163.38,166.5,163.17,162.57,158.06,154.66,173.67,160,155.12,166.58,178.6,158.6,160.88,156.5,185,164.87,161.1,170,170.97,163.3,155,151.48,164,164.82
,Urad Dal,124.5,173,85,120,152.67,132.5,129.25,112,121.32,125,120.5,138,155,155,123.13,118,133.17,128,122.18,130.16,142.09,139.5,117.68,129.42,133,136.67,118.14,118.67,151,132.87,119.97,126.67,137.43,128.8,127,118.6,121.33,125.14
,Moong Dal,115.19,150,87,120,127.33,121.75,118,115.52,112.65,116,115.88,118,120,131.5,110.63,117.25,115.75,123.13,113.94,116.53,131.83,130,108.44,120.95,123.4,137.83,118.64,113.82,113,116.07,107.32,126.67,120.87,115.9,112.5,109.6,115,118.41
,Masoor Dal,90.06,160,73,90,100,94.25,100.75,91.19,80.51,90,90.88,90,100,100.5,86.63,86,87.75,104,82.47,93.38,102.75,130,86.26,94.32,87.9,98.11,98.21,83.14,98,93.47,86.61,94.17,91.78,92.6,103,86.44,104.67,97.77
,Sugar,44.82,60,35,44,53,44,53.75,47.43,44.68,45,43.75,45,44,44.5,43,44.75,47.17,50.13,45.06,42.81,43.67,55,42.52,43.32,49,51.89,49.92,44.91,49,44.27,42.69,51.5,43.9,40.2,49.75,43.86,44.33,45.82
,Milk @,58.63,82,39,60,74,56.75,75.25,72.84,56.59,60,56.88,56,64,59,63.5,58.25,53.08,53.5,59,51.38,54.67,60,55.36,59.26,73.5,79.44,73.33,53.57,48,59.93,53.04,64.17,47.67,58,74,61.96,63.33,55.45
