Date 30/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.36,65,,
Unit:(Rs./Kg.),Wheat,32.49,57,,
,Atta (Wheat),37.47,71,,
,Gram Dal,93.57,140,,
,Tur/Arhar Dal,156.6,193,,
,Urad Dal,123.81,170,,
,Moong Dal,114,150,,
,Masoor Dal,89.49,130,,
,Sugar,44.66,60,,
,Milk @,58.99,85,,
,Groundnut Oil (Packed),194.83,275,,
,Mustard Oil (Packed),168.94,220,,
,Vanaspati (Packed),146.65,209,,
,Soya Oil (Packed),143.32,192,,
,Sunflower Oil (Packed),154.38,209,,
,Palm Oil (Packed),134.74,176,,
,Gur,54.82,130,,
,Tea Loose,270.47,520,,
,Salt Pack (Iodised),22.07,31,,
,Potato,34.13,80,,
,Onion,43.37,90,,
,Tomato,39.71,103,,
